score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;B19J24002180005;CONTRATTO MISTO AVENTE AD OGGETTO IL SERVIZIO DI GLOBAL SERVICE PER LA GESTIONE E MANUTENZIONE DELLA SGC FIPILI;Infrastrutture / parcheggi;TOSCANA;FIRENZE;FIRENZE;43800000.0;CITTA' METROPOLITANA DI FIRENZE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B19J24002180005
100;B87H04000820004;manutenzione straordinaria di guard-rail e spallette di ponti su strade comunali;Infrastrutture / parcheggi;TOSCANA;AREZZO;AREZZO;43700000.0;COMUNE DI AREZZO - AR -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/B87H04000820004
100;C82E25000320001;CONDOTTA ADDUTTRICE IN DERIVAZIONE DALL' ACQUEDOTTO DEL PESCHIERA A SALISANO. LOTTO 3- ACQUEDOTTO DI ADDUZIONE AL CAMPO POZZI LUNGO TEVERE VERSO GALLESE E INTERCONNESSIONE A CIVITA CASTELLANA E CORCHIANO;Ambiente / rifiuti / depurazione;LAZIO;VITERBO;GALLESE;43648500.0;TALETE S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C82E25000320001
100;F45B22000500007;STADIO LIBERO LIBERATI;Sport / impianti sportivi;UMBRIA;TERNI;TERNI;43608000.0;COMUNE DI TERNI - TR -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F45B22000500007
100;C32E26000020001;PROGETTO PER LINTEGRAZIONE DELLO SCHEMA IDRICO EX-SIIT LE VENE-BISENZIO PIANCASTAGNAIO. III STRALCIO COLLEGAMENTO PARTITORE BOLSENA MONTEFIASCONE;Ambiente / rifiuti / depurazione;LAZIO;VITERBO;BAGNOREGIO;43533912.0;TALETE S.P.A.;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C32E26000020001
100;C57H21010040001;RIPRISTINO SOTTOSERVIZI ACQUEDOTTO, FOGNATURE E PUBBLICA ILLUMINAZIONE FRAZIONI VERSANTE RAMO CHIENTI (26 FRAZIONI);Sanità / RSA;MARCHE;MACERATA;PIEVE TORINA;43484848.0;COMUNE DI PIEVE TORINA - MC -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C57H21010040001
100;D88C04000020004;COMPRENSORIO DIREZIONALE DI PIETRALATA - VIABILITÀ LOCALE SUBLATA;Infrastrutture / parcheggi;LAZIO;ROMA;ROMA;43431556.0;MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D88C04000020004
100;F52E23000250006;COMPLETAMENTO SCHEMA IDRICO MONTEDOGLIO CENTRO;Ambiente / rifiuti / depurazione;TOSCANA;SIENA;ASCIANO;43417067.0;ACQUEDOTTO DEL FIORA SPA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F52E23000250006
100;F98B22000260005;RETI DISTRIBUZIONE IDRICA CONFERENZA TERRITORIALE TOSCANA 6 OMBRONE;Ambiente / rifiuti / depurazione;TOSCANA;SIENA;RAPOLANO TERME;43308946.0;ACQUEDOTTO DEL FIORA SPA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F98B22000260005
100;I94F22000040001;RIQUALIFICAZIONE DI EDIFICI PATRIMONIO ERP - SUPERBONUS 110% - LOTTO 1 ASCOLI PICENO;Riqualificazione urbana;MARCHE;ASCOLI PICENO;ASCOLI PICENO;43088033.0;ENTE REGIONALE PER L'ABITAZIONE PUBBLICA MARCHE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I94F22000040001
