score;cup;title;category;region;province;municipality;value_eur;client;source_url
100;B47H06000310003;Lavori di sistemazione del piano viabile di un tratto di circa ml. 1200 della Strada Comunale denominata ¿Vecchia Senese¿, dallo svincolo della S.G.C. E/78 in loc. Rigomagno fino al tratto di competenza Anas, ricadente nel comune di Sinalunga;Infrastrutture / parcheggi;TOSCANA;SIENA;SINALUNGA;194953730.0;AMMINISTRAZIONE PROVINCIALE DI SIENA;https://www.opencup.gov.it/portale/progetto/-/cup/B47H06000310003
100;J47H03000020004;PIAZZA DELLA REPUBBLICA: MANUTENZIONE STRAORDINARIA STRADALE;Riqualificazione urbana;TOSCANA;LIVORNO;LIVORNO;193000000.0;COMUNE DI LIVORNO - LI -;https://www.opencup.gov.it/portale/progetto/-/cup/J47H03000020004
100;G82E21000290005;MESSA IN SICUREZZA E AMMODERNAMENTO DEL SISTEMA IDRICO DEL PESCHIERA DL 77/2021 - RADDOPPIO ADDUTTRICE MONTE CARNALE-OTTAVIA;Ambiente / rifiuti / depurazione;LAZIO;ROMA;ROMA;192000000.0;ACEA ATO 2 S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/G82E21000290005
100;F13C22002190002;INTERVENTO DI SMANTELLAMENTO DELLA MOTONAVE LA FRANCA REAL E RIPRISTINO DELLE BANCHINE IDRAULICHE IN PROSSIMITÀ DEL PONTE DUE GIUGNO NEL COMUNE DI FIUMICINO;Infrastrutture / parcheggi;LAZIO;ROMA;FIUMICINO;191149860.0;REGIONE LAZIO;https://www.opencup.gov.it/portale/progetto/-/cup/F13C22002190002
100;G25I08000040002;COMPLETAMENTO E RIFACIMENTO DELLA PUBBLICA ILLUMINAZIONE NEL TERRITORIO COMUNALE;Infrastrutture / parcheggi;LAZIO;ROMA;ROCCA DI CAVE;190000000.0;COMUNE DI ROCCA DI CAVE - ROMA -;https://www.opencup.gov.it/portale/progetto/-/cup/G25I08000040002
100;D15I22000720001;REALIZZAZIONE DELLA NUOVA SEDE DEI REPARTI ANTITERRORISMO E DELLE FORZE SPECIALI DELL'ARMA IN PROVINCIA DI PISA;Infrastrutture / parcheggi;TOSCANA;PISA;TUTTI;190000000.0;MINISTERO DELLA DIFESA;https://www.opencup.gov.it/portale/progetto/-/cup/D15I22000720001
100;E46B02000000002;ALLOGGI DI EDILIZIA RESIDENZIALE PUBBLICA;Residenziale pubblico / ERS;TOSCANA;LUCCA;PIETRASANTA;189364090.0;E.R.P. LUCCA S.R.L. (SOGGETTO GESTORE DELL'EDILIZIA RESIDENZIALE PUBBLICA DELLA PROVINCIA DI LUCCA S.R.L.);https://www.opencup.gov.it/portale/progetto/-/cup/E46B02000000002
100;J88J11000270004;LAVORI DI POTATURA DELLE ALBERATE STRADALI DI ALTO FUSTO NEL MUNICIPIO ROMA XIII;Edilizia pubblica;LAZIO;ROMA;ROMA;187499000.0;ROMA CAPITALE;https://www.opencup.gov.it/portale/progetto/-/cup/J88J11000270004
100;D86G06000060005;Rinnovamento di un tratto di rete di acqua potabile su Via del Castellano in Ancona;Ambiente / rifiuti / depurazione;MARCHE;ANCONA;ANCONA;185500000.0;soggetto privato;https://www.opencup.gov.it/portale/progetto/-/cup/D86G06000060005
100;H44E07000070007;A 14 AUTOSTRADA BOLOGNA TARANTO;Infrastrutture / parcheggi;MARCHE;ANCONA;CASTELFIDARDO;185459987.0;AUTOSTRADE PER L'ITALIA S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/H44E07000070007
100;J81F19000890001;TRANVIA VIALE PALMIRO TOGLIATTI;Infrastrutture / parcheggi;LAZIO;ROMA;ROMA;184256600.0;ROMA CAPITALE;https://www.opencup.gov.it/portale/progetto/-/cup/J81F19000890001
100;J31H02000100001;GRANDI STAZIONI;Riqualificazione urbana;TOSCANA;TUTTE;TUTTI;183858656.0;RETE FERROVIARIA ITALIANA S.P.A.;https://www.opencup.gov.it/portale/progetto/-/cup/J31H02000100001
100;B54B02000020001;PRES. DELLA REPUBBLICA - Tenuta Castelporziano - lavori s.u. consolidamento e risanamento ambienti studio e locali limitrofi nel fabbricato Castello;Edilizia pubblica;LAZIO;ROMA;ROMA;183120850.0;MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI;https://www.opencup.gov.it/portale/progetto/-/cup/B54B02000020001
100;D46J06000000005;Estensione del sistemo fognario nella zona L.go Due Querce - Via Carbonara - Via Guastuglie nel Comune di Monsano;Ambiente / rifiuti / depurazione;MARCHE;ANCONA;MONSANO;182500000.0;soggetto privato;https://www.opencup.gov.it/portale/progetto/-/cup/D46J06000000005
