score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;E72C15000410001;ENTE DI GOVERNO DELL'AMBITO DELLA SARDEGNA;Ambiente / rifiuti / depurazione;SARDEGNA;TUTTE;TUTTI;75650000.0;REGIONE AUTONOMA DELLA SARDEGNA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/E72C15000410001
100;H41H06000000009;Chiesa e campanile della di S. Tomaso di Levego della Parrocchia dei SS. Tommaso e Brigida di Levego di Sagrogna BL. Restauro del campanile e rifacimento della copertura e degli impianti. L.R. 6/97 art. 78 DGR. 490/2006;Riqualificazione urbana;VENETO;BELLUNO;BELLUNO;75200000.0;REGIONE VENETO;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/H41H06000000009
100;I93H88000000001;INVASO PIETRAROSSA SUL FIUME MARGHERITO;Ambiente / rifiuti / depurazione;SICILIA;ENNA;AIDONE;75147869.0;REGIONE AUTONOMA DELLA SICILIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I93H88000000001
100;G49H25000010009;RIQUALIFICAZIONE E RECUPERO DELLE AREE PORTUALI - OPERE DI COMPLETAMENTO AFFERENTI ALLA REDAZIONE DEL DOCFAP (DOCUMENTO DI FATTIBILITÀ DELLE ALTERNATIVE PROGETTUALI);Riqualificazione urbana;CAMPANIA;NAPOLI;TORRE ANNUNZIATA;75109496.0;COMUNE DI TORRE ANNUNZIATA - NAPOLI -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/G49H25000010009
100;G31E18000280001;LAVORI DI COMPLETAMENTO DEGLI ALLACCIAMENTI DEI BACINI DEI TORRENTI SERIERI E SCIOLTABINO AL SERBATOIO DELLA DIGA OLIVO;Ambiente / rifiuti / depurazione;SICILIA;ENNA;PIAZZA ARMERINA;75000000.0;REGIONE AUTONOMA DELLA SICILIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/G31E18000280001
100;H61B08001230005;S.P. BS N. 237 DEL CAFFARO;Riqualificazione urbana;LOMBARDIA;BRESCIA;IDRO;75000000.0;AMMINISTRAZIONE PROVINCIALE DI BRESCIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H61B08001230005
100;D51B20000480008;CICLOPISTA DEI DUE MARI;Infrastrutture / parcheggi;TOSCANA;TUTTE;TUTTI;75000000.0;REGIONE TOSCANA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D51B20000480008
100;F51B05000250005;S.P. N. 46 DEL PASUBIO;Infrastrutture / parcheggi;VENETO;VICENZA;VICENZA;75000000.0;AMMINISTRAZIONE PROVINCIALE DI VICENZA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F51B05000250005
100;D29J16002370002;S.S.13 S.R. 56;Riqualificazione urbana;FRIULI-VENEZIA GIULIA;TUTTE;TUTTI;75000000.0;REGIONE AUTONOMA FRIULI VENEZIA GIULIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D29J16002370002
100;B51B26000080003;S.S. N. 38 DELLO STELVIO;Infrastrutture / parcheggi;TRENTINO-ALTO ADIGE;BOLZANO;PARCINES;75000000.0;PROVINCIA AUTONOMA DI BOLZANO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B51B26000080003
100;G38H18000050001;DIGA OLIVO;Ambiente / rifiuti / depurazione;SICILIA;ENNA;PIAZZA ARMERINA;75000000.0;REGIONE AUTONOMA DELLA SICILIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/G38H18000050001
100;J77H23001740001;AMMODERNAMENTO E MESSA IN SICUREZZA DELLA S.P. 359 NARDO' - AVETRANA;Infrastrutture / parcheggi;PUGLIA;LECCE;NARDO';75000000.0;AMMINISTRAZIONE PROVINCIALE DI LECCE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J77H23001740001
100;B61B21006540001;TRASPORTO RAPIDO DI MASSA ELIMINAZIONE PP.LL. LINEA STORICA INTERVENTI SULLA RETE E SULLA VIABILITÀ;Infrastrutture / parcheggi;CAMPANIA;SALERNO;TUTTI;75000000.0;REGIONE CAMPANIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B61B21006540001
100;B72B25000380005;ABITATO DI ENTREVES - VIABILITÀ COMUNALE;Infrastrutture / parcheggi;VALLE D'AOSTA;AOSTA;COURMAYEUR;75000000.0;REGIONE AUTONOMA DELLA VALLE D'AOSTA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/B72B25000380005
100;C12F13003790001;PARTI COMUNI;Residenziale pubblico / ERS;ABRUZZO;L'AQUILA;L'AQUILA;74478001.0;COMUNE DI L'AQUILA - AQ -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C12F13003790001
100;I31E25000090004;TERRITORIO COMUNALE;Ambiente / rifiuti / depurazione;ABRUZZO;CHIETI;VASTO;74422825.0;COMUNE DI VASTO - CH -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I31E25000090004
100;J35I18000020002;APPALTO PER L'AFFIDAMENTO DI UN COMPLESSO DI ATTIVITÀ FINALIZZATE ALLA REALIZZAZIONE DELL'ECODISTRETTO SITO IN LOCALITÀ SAMBATELLO DEL COMUNE DI REGGIO CALABRIA;Ambiente / rifiuti / depurazione;CALABRIA;REGGIO DI CALABRIA;REGGIO DI CALABRIA;74400000.0;REGIONE CALABRIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J35I18000020002
100;C15C11001980005;FORMAZIONE PER LO SVILUPPO;Scuole / formazione;ABRUZZO;TERAMO;CASTELLALTO;74200000.0;REGIONE ABRUZZO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C15C11001980005
100;H58B91000000001;OSPEDALE DEL VALDARNO;Sanità / RSA;TOSCANA;AREZZO;MONTEVARCHI;74004027.0;AZIENDA USL8 AREZZO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H58B91000000001
100;H97B10000020005;INTERVENTI PER LA MITIGAZIONE DEL RISCHIO EROSIONE COSTIERA E PER IL RECUPERO AMBIENTALE DEI LITORALI DI CAMEROTA E CENTOLA (SA);Ambiente / rifiuti / depurazione;CAMPANIA;SALERNO;CAMEROTA;74000000.0;AMMINISTRAZIONE PROVINCIALE DI SALERNO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/H97B10000020005
100;H18C11000010004;INCARICO SET NELL'AMBITO DEI LAVORI DI ELETTRIFICAZIONE FORTE CORNO;Infrastrutture / parcheggi;TRENTINO-ALTO ADIGE;TRENTO;VALDAONE;73970000.0;COMUNE VALDAONE - TRENTO -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/H18C11000010004
100;C17E04000030004;Progetto esecutivo dei lavori di riqualificazione urbana, realizzazione parco pubblico e recupero estetico,funzionale di Villa Gori in fraz.Stiava, 1° lotto.;Riqualificazione urbana;TOSCANA;LUCCA;MASSAROSA;73595110.0;COMUNE DI MASSAROSA - LU -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/C17E04000030004
100;I95F22000760002;REALIZZAZIONE DI UN EDIFICIO POLIFUNZIONALE NELLAREA OSPEDALIERA DI VIA GIUSTINIANI  PADOVA  FASE 2 MASTERPLAN - IN SOSTITUZIONE DELLEDIFICIO N. 30 (EX CUCINE) E PARZIALI RISTRUTTURAZIONI DEGLI EDIFICI ADIACENTI;Edilizia pubblica;VENETO;PADOVA;PADOVA;73436690.0;REGIONE VENETO AZIENDA OSPEDALE - UNIVERSITÀ PADOVA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/I95F22000760002
100;F41H10000080004;REALIZZAZIONE DI UNA PIASTRA LOGISTICO-DISTRIBUTIVA NELLAREA S. FILIPPO-TREMESTIERI DI MESSINA.;Infrastrutture / parcheggi;SICILIA;MESSINA;MESSINA;73147240.0;COMUNE DI MESSINA - ME -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F41H10000080004
100;D71B19000510002;STRADA DEL PARCO 1° LOTTO - TRATTO VALLO DELLA LUCANIA - LAURINO;Riqualificazione urbana;CAMPANIA;SALERNO;VALLO DELLA LUCANIA;72500000.0;COMUNE DI VALLO DELLA LUCANIA - SA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D71B19000510002
100;C18J25000290001;RIVITALIZZAZIONE AREE GEOGRAFICHE A RISCHIO DI ABBANDONO;Residenziale pubblico / ERS;TRENTINO-ALTO ADIGE;TRENTO;PIEVE TESINO;72500000.0;PROVINCIA AUTONOMA DI TRENTO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/C18J25000290001
100;B42D10000120004;VARIE LOCALITA' SUL TERRITORIO DEL COMUNE DI MILANO - PARCHI E GIARDINI -;Riqualificazione urbana;LOMBARDIA;MILANO;MILANO;72200000.0;COMUNE DI MILANO - MI -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/B42D10000120004
100;F37H25001090002;PIANO TRIENNALE DI MANUTENZIONE DELLE STRADE DI INTERESSE REGIONALE 2025-2028- LOTTO1 AVELLINO;Infrastrutture / parcheggi;CAMPANIA;AVELLINO;TUTTI;72054726.0;AMMINISTRAZIONE PROVINCIALE DI AVELLINO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F37H25001090002
100;H61B97000000003;STRADA A SCORRIMENTO VELOCE IN VARIANTE ALLA S.S. N. 18;Infrastrutture / parcheggi;CAMPANIA;SALERNO;FUTANI;71819529.0;AMMINISTRAZIONE PROVINCIALE DI SALERNO;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/H61B97000000003
100;F72G12000160004;VILLASMUNDO (FRAZ. DI MELILLI);Sanità / RSA;SICILIA;SIRACUSA;MELILLI;71539000.0;COMUNE DI MELILLI - SIRACUSA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F72G12000160004
100;F48C22000040006;IHUB DI MESSINA COSTRUZIONE DI UN HUB INNOVATIVO, LAVORI DI DEMOLIZIONE E RICOSTRUZIONE, E REALIZZAZIONE IMPIANTI;Residenziale pubblico / ERS;SICILIA;MESSINA;MESSINA;71285714.0;COMUNE DI MESSINA - ME -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F48C22000040006
100;H84I09000020002;STRADA;Infrastrutture / parcheggi;BASILICATA;MATERA;GROTTOLE;71178570.0;COMUNE DI GROTTOLE - MATERA -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/H84I09000020002
