score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;G79D07000100007;PROJECT FINANCING PER LA REALIZZAZIONE DELLA STAZIONE TRAMVIA VELOCE FIRENZE SMN SCANDICCI E NUOVO CENTRO CIVICO;Cultura / centri civici;TOSCANA;FIRENZE;SCANDICCI;33339918.0;COMUNE DI SCANDICCI - FI -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/G79D07000100007
100;J86I22000000006;PROGETTO CINECITTÀ;Cultura / centri civici;LAZIO;ROMA;ROMA;33200000.0;soggetto privato;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J86I22000000006
100;G86I22000110008;LOTUS PRODUCTION SRL;Cultura / centri civici;LAZIO;ROMA;ROMA;29050645.0;REGIONE AUTONOMA DELLA SICILIA;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/G86I22000110008
100;F85B24000260002;FINANZIAMENTO DEL PIANO DI INTERVENTI STRAORDINARI PER LA VALORIZZAZIONE DEI TEATRI, DELLE SALE CINEMATOGRAFICHE, DEI PALAZZI STORICI, DEI LUOGHI DI CULTO, DEGLI SPAZI ARCHEOLOGICI E RICREATIVI DEL LAZIO;Cultura / centri civici;LAZIO;TUTTE;TUTTI;24000000.0;REGIONE LAZIO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/F85B24000260002
100;D83G04000120001;SENATO DELLA REPUBBLICA- COMPLESSO MINERVIANO;Cultura / centri civici;LAZIO;ROMA;ROMA;23996508.0;MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D83G04000120001
100;J74D07000040002;MUSEO DI PALAZZO FERRINI E EX MONASTERO DELLE ORSOLINE;Cultura / centri civici;UMBRIA;TERNI;CALVI DELL'UMBRIA;22958380.0;COMUNE DI CALVI DELL'UMBRIA - TERNI -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/J74D07000040002
100;J83G03000410009;MUSEO D'ARTE CONTEMPORANEA DI ROMA;Cultura / centri civici;LAZIO;ROMA;ROMA;22926818.0;ROMA CAPITALE;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/J83G03000410009
100;J89D12000290004;PROGETTAZIONE ESECUTIVA E REALIZZAZIONE DELL'EDIFICIO DA DESTINARE AL MUSEO NAZIONALE DELLA SHOAH IN VIA ALESSANDRO TORLONIA;Cultura / centri civici;LAZIO;ROMA;ROMA;21720000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J89D12000290004
100;J89D22000790001;MUSEO DELLA CIVILTÀ ROMANA - RESTAURO CONSERVATIVO E VALORIZZAZIONE;Cultura / centri civici;LAZIO;ROMA;ROMA;20700000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J89D22000790001
100;G88C16000410001;NUOVO POLO BIBLIOTECARIO E CULTURALE - PALAZZO SAN FELICE - VIA DELLA DATARIA 21 - ROMA;Cultura / centri civici;LAZIO;ROMA;ROMA;20000000.0;MINISTERO DELL'ECONOMIA E DELLE FINANZE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/G88C16000410001
100;D85I22000910001;"FONDAZIONE MAXXI- MUSEO NAZIONALE DELLE ARTI DEL XXI SECOLO- NUOVA EDIFICAZIONE E SISTEMAZIONE ESTERNI PER AMPLIAMENTO DEL MUSEO, CON ARCHIVI E LABORATORI; REALIZZAZIONE DEL PROGETTO GRANDE MAXXI.";Cultura / centri civici;LAZIO;ROMA;ROMA;20000000.0;MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D85I22000910001
100;E78G04000000007;TEATRO ALL' INTERNO DEL PARCO DELLA MUSICA, TORRE DEL LAGO PUCCINI, COMUNE DI VIAREGGIO: REALIZZAZIONE;Cultura / centri civici;TOSCANA;LUCCA;VIAREGGIO;18585000.0;soggetto privato;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/E78G04000000007
100;J81I05000070002;LINEA A, METROPOLITANA DI ROMA;Edilizia pubblica;LAZIO;ROMA;ROMA;379815868.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J81I05000070002
