cig;cup_count;cups
5863737CD6;1;H41E13000230003
5864152351;1;I71B02000030019
5883611D61;1;F87E14000230009
591010983A;1;F77H03001330001
5914319A6D;1;E31G13000010004
5919314470;1;F11B01000390001
5942442245;1;B63B12000080002
5944249573;1;J86J13000450002
59508382DE;1;F79C10000280009
5951376ED3;1;H61B08001230005
5982514EB7;1;F32E10000080008
5982626B25;1;F32E10000080008
5982669EA0;1;F32E10000080008
598271656C;1;F32E10000080008
5982740939;1;F32E10000080008
5982768057;1;F32E10000080008
5982785E5A;1;F32E10000080008
598281571E;1;F32E10000080008
5982836872;1;F32E10000080008
5982847188;1;F32E10000080008
59828758A1;1;F32E10000080008
5982897AC8;1;F32E10000080008
6014462B0B;1;I24B13000350003
60145335A4;1;I71B02000030019
6016050981;1;B77E99002500003
6016887C37;1;F91B00000270011
60278979F5;1;B81B08000620001
605217197F;1;H76D14000230008
6058158621;1;I93B98000000003
6061184743;1;F31B02000110002
6065109E44;1;J72D10000650001
6072337B01;1;J13J09000520009
6072627A52;1;B63J12000430001
6104885678;1;H41H14000110005
611235179B;1;J41B07000110004
61124010E0;1;B41B09000260005
6112427653;1;J41B07000110004
61137455F9;1;J13J09000520009
613945026A;1;H41E13000230003
6167946E0B;1;D88C04000020004
61679598C7;1;D88C04000020004
61679701DD;1;D88C04000020004
617052919E;1;I71B02000030019
6187879F46;1;B77E99002500003
6229121144;1;J88I14000490004
6230687D8E;1;B41B09000260005
62456476F2;1;J72D10000650001
6265083E08;1;D33I06000080001
6266306F48;1;F81B04000040041
6269441A5F;1;H41H14000110005
6271307E3D;1;I93B98000000003
6278283B05;1;J69H07000230001
62788173B3;1;H41H14000110005
6289379FB9;1;F31B05000510001
6289961006;1;C61B99000080003
6299628979;1;F31B02000080001
6307851B4E;1;I93B98000000003
63233598EA;1;C79H11000700003
6325075103;1;I24B13000350003
632518294D;1;I24B13000350003
632639959B;1;I71B02000030019
6329396ECC;1;I91B15000180004
6330327F15;1;B33J12000380001
6338612418;1;J13J09000520009
6341045BDC;1;H41H14000110005
6345233BE8;1;B63B12000080002
6345291BC5;1;B63B12000080002
6346897916;1;B57B15000390003
6358674FC4;1;J13J09000520009
6362848446;1;F87B14000620005
63667822B7;1;C41B03000140003
63746141E3;1;C79H11000700003
63880891CF;1;H41H14000130009
6433295AF8;1;F32E10000080008
644037800F;1;J72D10000650001
6454716824;1;H57B12000330001
6458423B40;1;F32E10000080008
64585693BE;1;F32E10000080008
6458599C7D;1;F32E10000080008
6458624122;1;F32E10000080008
6458660ED3;1;F32E10000080008
645867398F;1;F32E10000080008
64586885F1;1;F32E10000080008
64587053F9;1;F32E10000080008
645872112E;1;F32E10000080008
6458736D8B;1;F32E10000080008
6462314636;1;E87E15001150003
6475468D3A;1;F11B01000390001
65043821D4;1;B77E99002500003
651037750E;1;E63H05000030005
6520119C66;1;C79H11000700003
6521827DE2;1;E31G13000010004
6543567250;1;C79H11000700003
6556418F47;1;C41B03000140003
6574175CD2;1;B57B15000390003
657749830F;1;E63H05000030005
65971772AF;1;C79H11000700003
66190515AD;1;F32E10000080008
6626461899;1;C79H11000700003
6626466CB8;1;C79H11000700003
66264721AF;1;C79H11000700003
66264764FB;1;C79H11000700003
664827279B;1;C41B03000140003
6658406274;1;F31B05000510001
66616328A0;1;F32E10000080008
6661639E65;1;F32E10000080008
66636856D1;1;H41E13000230003
666660614F;1;I23G22000110004
6666953FA5;1;J61B13000790007
6707214815;1;B41B09000260005
6710032D90;1;F21B07000310001
6715430425;1;C69G15001840001
67174452FA;1;C69G15001840001
6717725A08;1;C69G15001840001
67294337C8;1;F27H16000360001
6731530A47;1;J69H12000480001
6737436412;1;C79H11000700003
6737445B7D;1;C79H11000700003
67438397FD;1;F21B07000310001
67461814AC;1;H41H14000130009
6746183652;1;H41H14000130009
6748699298;1;C69G15001840001
675896170F;1;F32E10000080008
6759998ECF;1;B52I05000010001
6766545992;1;H41H14000130009
6766792568;1;C69G15001840001
6767822763;1;F32E10000080008
6768605D88;1;F21B03000350001
6770945891;1;F32E10000080008
6775282394;1;H41H14000130009
6775297FF1;1;H41H14000130009
6775583BF6;1;C69G15001840001
6778161B65;1;C79H11000700003
6784943815;1;E61B16000170006
678632086B;1;C67H16000850009
6799480466;1;F31B05000510001
681072326B;1;C69G15001840001
68138506E5;1;C41B03000140003
6815038B42;1;B84H15002080003
6838715E22;1;F43J13000000003
684439094C;1;B83G02000500005
68489826BD;1;F31B05000510001
6855506E81;1;C79H11000700003
6855543D0A;1;C79H11000700003
68580165D5;1;B77E99002500003
6861882C26;1;C79H11000700003
6862042033;1;C79H11000700003
6862706425;1;C79H11000700003
686296490C;1;C79H11000700003
68630006C2;1;C79H11000700003
6867889949;1;D97B14000720001
6867928978;1;D97B14000720001
68679847AF;1;D97B14000720001
6868004830;1;D97B14000720001
68986523B9;1;C71B03000390003
6899952484;1;C79H11000700003
6921133B9F;1;G31B05000020002
6923949F74;1;B86J16002730003
6924386816;1;H69H09000500003
69246902F6;1;C69G15001840001
693219651B;1;J69H12000480001
693374428F;1;B52I05000010001
69339593FB;1;C79H11000700003
6933969C39;1;C79H11000700003
6935061162;1;E59D16002030002
6936920F76;1;H17B16000800005
69483675D6;1;J76G16000220004
69563322C4;1;B77E99002500003
6960611DE5;1;C79G14000990001
6960612EB8;1;C79G14000990001
6960613F8B;1;C79G14000990001
