cup;cig;source_dataset
H77H21000500005;B65DD499B3;cup_csv.csv
H51B05000470002;Z9F2C608D1;cup_csv.csv
E81D22000050003;ZED3A838CB;cup_csv.csv
H48B22000360002;B163C49DBF;cup_csv.csv
F91B21002580001;9738090E13;cup_csv.csv
D12J09000400001;91695453E9;cup_csv.csv
D97B14000720001;Z84205CFA8;cup_csv.csv
E15B20000440002;96247513C9;cup_csv.csv
F71B16000510001;B5979B65A6;cup_csv.csv
F32E10000080008;Z162CF7615;cup_csv.csv
D31B09000010002;Z580377E33;cup_csv.csv
I41B21003430008;B453C46A20;cup_csv.csv
C58B22000220004;98000064C9;cup_csv.csv
I94F22000040001;B111A9C963;cup_csv.csv
C69G15001840001;ZB02DA5014;cup_csv.csv
I81D22000000006;B741ED4C6B;cup_csv.csv
C79H11000700003;72704759C3;cup_csv.csv
F21B03000350001;8433266741;cup_csv.csv
J87E20000010004;8947711CB1;cup_csv.csv
C69G15001840001;Z7728DC8AD;cup_csv.csv
G93H20000080001;Z0D30BD8AB;cup_csv.csv
F84E07000270001;YAD357E0EB;cup_csv.csv
H21J24000010001;B913A2E92E;cup_csv.csv
D43H19001010008;Z2A2E68BDB;cup_csv.csv
D31B09000010002;ZF603159F4;cup_csv.csv
H41H14000130009;Z881DFAB44;cup_csv.csv
C69G15001840001;ZB332A0085;cup_csv.csv
B33H19001390001;9648316A3B;cup_csv.csv
D31B09000010002;ZE5012C636;cup_csv.csv
D12J09000400001;Z3417FB974;cup_csv.csv
H41E13000230003;Z3219C62BE;cup_csv.csv
C69G15001840001;Z7F1D6BF4A;cup_csv.csv
I81D22000000006;B772AF3329;cup_csv.csv
B81B08000620001;60278979F5;cup_csv.csv
C67I14000010001;Z0432506C9;cup_csv.csv
D62H16000010002;Z5B2B4F921;cup_csv.csv
H48B22000360002;B17866799C;cup_csv.csv
C69G15001840001;Z7729BBA90;cup_csv.csv
F41B19000540005;B82EE3D1B7;cup_csv.csv
F31B16000600001;A06A0BC156;cup_csv.csv
G61B06001160007;ZB6214836D;cup_csv.csv
E15B20000440002;80000645A8;cup_csv.csv
D31B09000010002;Z910AAC406;cup_csv.csv
B49D99000000003;ZD908A4972;cup_csv.csv
G79J18000420001;B6D3B4CC8A;cup_csv.csv
C69G15001840001;9612360269;cup_csv.csv
H17H21010150005;9609874EE2;cup_csv.csv
H87H20001200005;B7E151018C;cup_csv.csv
D33I06000080001;6265083E08;cup_csv.csv
B61B22000670006;B7D4767A35;cup_csv.csv
F37J22000010007;B8ACE99586;cup_csv.csv
F72H22000020002;B63118A2B4;cup_csv.csv
F37J22000010007;B7A407AD06;cup_csv.csv
C79H11000700003;B1A06EFEE1;cup_csv.csv
D36C22000130004;BA8F5CFDAD;cup_csv.csv
C64H20000890001;85610290A0;cup_csv.csv
I41B21003430008;B27D6B1B98;cup_csv.csv
G67H19001090006;79622207CC;cup_csv.csv
F22C16000620001;ZDE248B831;cup_csv.csv
F72F22001080004;A0136C76FB;cup_csv.csv
E38B22001630005;B75830C273;cup_csv.csv
C58B22000220004;A01084A9F6;cup_csv.csv
F32E10000080008;8666751D2A;cup_csv.csv
E61B16000170006;9532901EC1;cup_csv.csv
F32E10000080008;64585693BE;cup_csv.csv
F61B20000490001;B9A59E140F;cup_csv.csv
G52E22000020002;A061EFCE9C;cup_csv.csv
H17B16000800005;7913841430;cup_csv.csv
F87H24001520006;B9AF73BDCE;cup_csv.csv
F91B00000270011;4611334133;cup_csv.csv
F69J21017430001;9862574588;cup_csv.csv
J55F22000120001;A01B96B5D8;cup_csv.csv
I87G22000270001;B98430A6EC;cup_csv.csv
J76G16000220004;B214DFDFDE;cup_csv.csv
I87H25000530003;B9805B16BF;cup_csv.csv
C69G15001840001;Z4135BA601;cup_csv.csv
F93G22000030001;A004C06D5C;cup_csv.csv
F41B21005960005;A0426DCA3C;cup_csv.csv
I76H14000090008;7377429EFD;cup_csv.csv
J72D10000650001;524295602A;cup_csv.csv
E81D22000050003;9846130384;cup_csv.csv
F61B20000490001;B7D91B9EF4;cup_csv.csv
F93G22000030001;B9858F5D42;cup_csv.csv
B51B99000010003;Z2B2496974;cup_csv.csv
E31G13000010004;7196761B0B;cup_csv.csv
D62H16000010002;80558666EC;cup_csv.csv
H17H21010150005;A053E1CBFF;cup_csv.csv
F37J22000010007;B1F9F56D2B;cup_csv.csv
H81B21008560001;B1A48FF31E;cup_csv.csv
J37B16000490003;784072856E;cup_csv.csv
C41B03000140003;Z191585004;cup_csv.csv
J37B16000490003;Z311E21DDE;cup_csv.csv
C69G15001840001;ZE421B6400;cup_csv.csv
H17H21010150005;A060C81E77;cup_csv.csv
I31B11000050007;B86671F935;cup_csv.csv
G86I18000050001;89214483CA;cup_csv.csv
D31B09000010002;Z59060CCD3;cup_csv.csv
F61B20000140001;A04A2159FE;cup_csv.csv
H33J12000510003;Z1B2554C70;cup_csv.csv
B44D20000040001;BB031A8F17;cup_csv.csv
J87H22002720001;A06A7BE9C8;cup_csv.csv
I54J22000610002;9538989EBB;cup_csv.csv
F41B21005960005;ZAA3B19A88;cup_csv.csv
I87G22000270001;A02FBF833E;cup_csv.csv
C79H11000700003;ZF82158087;cup_csv.csv
I31B11000050007;B94C1EB306;cup_csv.csv
F37J22000010007;B627E390F4;cup_csv.csv
C21D22000210006;BAB4B7B495;cup_csv.csv
F88B22001130002;A01D5FC8B8;cup_csv.csv
D36C22000130004;B20AC0FEF2;cup_csv.csv
G31B05000020002;Z68247C982;cup_csv.csv
F72J20002270001;A05FCC2FFA;cup_csv.csv
C69G15001840001;8342012E10;cup_csv.csv
G86I18000050001;B73523E808;cup_csv.csv
C69G15001840001;Z0223AB23A;cup_csv.csv
F61B20000500001;B93875EFAD;cup_csv.csv
G52E22000020002;A06745F53D;cup_csv.csv
C79H11000700003;Z9D23C819B;cup_csv.csv
H37H20001490007;8668832279;cup_csv.csv
F93G22000030001;B24CCE7189;cup_csv.csv
I94F22000040001;B118780565;cup_csv.csv
C71B03000380003;ZA108603D6;cup_csv.csv
E81D22000050003;A06D974F9A;cup_csv.csv
F27H20001520001;B31D8AD300;cup_csv.csv
I81D22000000006;B443EE51D8;cup_csv.csv
E38B22001630005;B6C72EA01B;cup_csv.csv
H17H21010150005;A06132AD7A;cup_csv.csv
F37J22000010007;B64624DA43;cup_csv.csv
H17H21010150005;9585686653;cup_csv.csv
B63E17000190001;91466820C5;cup_csv.csv
F32E10000080008;Z152ADE5F7;cup_csv.csv
C65F23000130003;B142DB0DD7;cup_csv.csv
B33J12000380001;6330327F15;cup_csv.csv
H86D11000100009;Z2A3549B96;cup_csv.csv
D33I06000080001;479440000B;cup_csv.csv
F33H08000000003;4729002FE3;cup_csv.csv
D31B09000010002;Z4C01EE942;cup_csv.csv
H17H21010150005;A04EE140C7;cup_csv.csv
F11B03000350001;Z8A0A4E11E;cup_csv.csv
D97B14000720001;Z432243AAB;cup_csv.csv
H41E13000230003;Z0A1FF96D9;cup_csv.csv
E25E18000110005;B2BF80A8A0;cup_csv.csv
I81D22000000006;B741E10AAD;cup_csv.csv
H48B22000360002;B7A2CE435A;cup_csv.csv
E62E22000050005;B792306CCD;cup_csv.csv
C69G15001840001;85948262CA;cup_csv.csv
H41H14000130009;Z2B27E2F55;cup_csv.csv
I81D22000000006;B73C943FD6;cup_csv.csv
J37H19002880001;8138220F95;cup_csv.csv
B57B15000390003;6574175CD2;cup_csv.csv
I71B02000030019;Z98047F8C2;cup_csv.csv
C69G15001840001;Z5326E6EA9;cup_csv.csv
C42E23007610001;B6BF5DABA7;cup_csv.csv
