cig;cup_count;cups
7286221BC5;1;D51B17001660001
728834548F;1;D51B17001660001
729650633B;1;D51B17001660001
7297422722;1;D37B13000300002
7302680A2B;1;C31H04000120005
7315359936;1;B97H11001950003
7315558D6D;1;D71B17002010001
73155853B8;1;D71B17002010001
7335768342;1;C29D17000700005
7339634993;1;D71B17002010001
73469005AC;1;B19J17000300005
73512478ED;1;D31B18000530002
735130699D;1;D71B17002010001
735456288D;1;D91B18000030001
7354589ED3;1;D91B18000030001
73558607B2;1;D37B13000300002
7358099F5E;1;E31B13000630003
7370003EDC;1;J34J13000000001
737195273C;1;D91B18000030001
73739063BB;1;B11B13000160001
73775903DD;1;G88C16000410001
7377810968;1;B11B13000160001
738071350B;1;F62E16000000007
738403499D;1;D91B18000030001
73860411DA;1;D17B14000280003
7386103503;1;D63B05000020007
7389100E34;1;D47B16000190002
7389900266;1;F91B00000330001
7390802ABE;1;D51B17001660001
7398067604;1;D91B18000030001
7399279E2E;1;D73I18000030005
7401645EAA;1;D91B18000030001
7410801273;1;D17B14000280003
7422244582;1;D51B17001660001
7431794E68;1;I57B17000150005
7432321151;1;J26G17000260004
74337940E0;1;B99J18002450005
7438597C6C;1;D91B18000030001
74386074AF;1;D51B17001660001
743863294F;1;D91B18000030001
7439570F5D;1;D91B18000030001
7441393FC0;1;B11B13000160001
7442002653;1;D51B17001660001
7442696309;1;D91B18000030001
74506853C4;1;C94E04000050056
7457271EB1;1;B11B13000160001
7457610674;1;B81B04000140009
74702315A2;1;B11B13000160001
7476013916;1;D91B18000030001
74874474BA;1;F87H17002470001
7493471FE0;1;B85I17000320001
7493745201;1;F87H17002470001
7494899A4E;1;C61B03000140004
74958288F1;1;I55E17000050005
75002222FE;1;D17B04000080005
75079940A7;1;B19J17000300005
750855606E;1;B88E18000030005
7510047ED3;1;D51B17001660001
7512385836;1;B97B16000030003
75146304D9;1;D66B17000000001
75171547B7;1;D17B14000280003
7519816C76;1;B71B15000160005
75200150B2;1;D17B14000280003
7539106B13;1;B19J17000300005
7545937035;1;D71B17002010001
75504425D8;1;J45B17000720002
755286448B;1;F62E16000000007
7556045596;1;F78I18000070008
7556423D83;1;J45B17000720002
7559561B13;1;J45B17000720002
7562282087;1;B97B16000030003
7563365E3B;1;C61B03000140004
75685461BE;1;J45B17000720002
7570014D29;1;J45B17000720002
7572476CDE;1;J45B17000720002
7575660067;1;J45B17000720002
7576046EEC;1;J45B17000720002
7582256397;1;D91B18000030001
7585673762;1;J45B17000720002
7585871AC6;1;J45B17000720002
75906366FB;1;C29D17000700005
7594822561;1;J45B17000720002
7597006FA9;1;C61B03000140004
76040883ED;1;D71B17002010001
760548331E;1;B71B15000160005
7606399705;1;B97B16000030003
76117338C6;1;B11B13000160001
7612050E5D;1;B97B16000030003
7616354E23;1;C76B18000270008
76186683B9;1;D71B17002010001
7629079327;1;D71B17002010001
7637791884;1;D51B17001660001
7641949FCC;1;C48D18000030003
7642348912;1;B19J17000300005
764506398F;1;D17B18000070001
764564168B;1;I16J17000570005
76521333EA;1;F83D18000250009
7653925AB6;1;J45B17000720002
7661943362;1;B52I05000010001
766476080A;1;C48D18000040002
7668257DD9;1;F83D18000250009
7670038B94;1;C18E17000100001
7670079D69;1;B71B15000160005
7670101F90;1;D87H17000470001
7671667BDF;1;B19J17000300005
7676731ED0;1;F49D16000450009
7690246FBE;1;E31B13000630003
7691099FA9;1;C48D18000030003
769798522F;1;J32H18000520001
7705233F68;1;D37B13000300002
770644144B;1;E31B13000630003
770671780D;1;B19J17000300005
7707767A89;1;F78I18000070008
7720778B8D;1;F91B18000330002
77219388D1;1;J69H12000480001
7724465E28;1;J69H12000480001
7740361BF4;1;D35B16000070002
774601127E;1;B11B13000160001
7748231A7C;1;B71B15000160005
7750950E45;1;F19H17000010001
77550326DA;1;F43G18000010001
77643131C8;1;H74E07000110005
7764475776;1;F42J18000070001
7767607014;1;B97B16000030003
7768049CD0;1;I55E17000050005
7769166699;1;B11B13000160001
7769253E62;1;B11B13000160001
7777025C0B;1;F69F18000620002
777779142D;1;I51C19000000007
77845562D5;1;J45B17000720002
77924862E0;1;D17B04000080005
77947363A2;1;D37B13000300002
77947574F6;1;D37B13000300002
7805020A40;1;J26G17000260004
7807452136;1;J45B17000720002
7816556A0F;1;B85I17000320001
78187447A8;1;B85I17000320001
7823149AC6;1;B71B15000160005
78266969DA;1;D91B18000030001
7829342169;1;B97H11001950003
7829375CA1;1;B97H11001950003
78332011F5;1;B19J17000300005
7834260BDC;1;B71B15000160005
78420486BA;1;B97H11001950003
784369450D;1;B19J17000300005
785348118B;1;H74E07000110005
78561869C5;1;D31B18000530002
78600037A9;1;C29D17000700005
7861007431;1;B97B16000030003
78627789A9;1;G21B18000450007
7866428DBB;1;C61B03000140004
78741290D0;1;B23D18000270001
78755662A9;1;D71B17002010001
7876684D40;1;C61B03000140004
7878005F5F;1;D51B17001660001
7882067773;1;D72G18000050001
788280694A;1;D51B17001660001
7891555D30;1;B87G19000000005
78932861AB;1;D91B18000030001
78935993F6;1;D37B13000300002
7896201732;1;B83C16000020005
789763890B;1;D51B17001660001
7898399D09;1;D31B18000530002
79134788A0;1;I16J17000570005
79175465A6;1;B99J18002450005
7917571A46;1;B99J18002450005
7918333F17;1;D71B17002010001
79183583BC;1;D91B18000030001
7919555F84;1;B97H11001950003
7920853EA9;1;F83D18000250009
792378416A;1;B97B16000030003
7928914AD0;1;D51B17001660001
79289665BB;1;D51B17001660001
7930969AA7;1;B91B18000730002
7932677C23;1;D17B04000080005
7932914FB6;1;I83D16000840005
7933030F70;1;B46D08000000007
7939577A33;1;B46D08000000007
79406965A2;1;D17B04000080005
7949781ECD;1;B84B13000140001
79505010FB;1;I55E17000030005
7954543889;1;B99J18002450005
7956260175;1;D37B13000300002
79590911AC;1;B99J18002450005
7959845FE0;1;D91B18000030001
7960106745;1;D48E18000060002
7978744BD4;1;F83D18000250009
7984793B9F;1;D31B18000530002
7985500311;1;B28I17001280008
7985614125;1;I39J02000060003
7986093C6A;1;D31B19000200003
7991301633;1;B97H11001950003
7992197999;1;B61B03000280006
799992207B;1;D37B13000300002
8002998ADD;1;H32G19000170005
8004049E2C;1;B97H11001950003
8006633292;1;C18E17000100001
800702453B;1;C18E17000100001
8007099320;1;B97B16000030003
8011084BA4;1;E33B08000290007
8011102A7F;1;E33B08000290007
801160271D;1;F69F18000620002
801514748B;1;J45B17000720002
8015159E6F;1;J45B17000720002
8015857E71;1;B86J19000030005
801700844A;1;J45B17000720002
801867973D;1;J45B17000720002
8018706D83;1;J45B17000720002
801977822B;1;B97B16000030003
8019829C3E;1;F78I18000070008
8020418250;1;B19G16000310009
8021076150;1;E91F19000040007
80229267F9;1;F83D18000250009
8023449791;1;B99J18002450005
80235570B3;1;D31B18000530002
8025080982;1;C63D16001790008
8028887F23;1;J89F18000850004
80299658BD;1;B11B13000160001
8033852067;1;B46D08000000007
80407550F0;1;B99D15000660003
8040758369;1;D37B13000300002
8046083DBA;1;F78I18000070008
8046491E6B;1;B86J19000030005
80475475DE;1;J69H12000480001
804950018A;1;D37B13000300002
8050156EDF;1;C63D16001790008
8057655B3F;1;D17B04000080005
8067743024;1;B19J17000300005
8074281377;1;H27E14000010005
8076523D9C;1;B12G19000420003
80768267A9;1;F78I18000070008
8078292173;1;B97H11001950003
8080073F29;1;B99J18002450005
808010271A;1;B19J17000300005
808108417B;1;B71B15000160005
8081680D4D;1;F67H18000570001
80817349DE;1;I57B17000150005
808645301F;1;B99J18002450005
808735152B;1;D37B13000300002
8090570592;1;C18E17000100001
8091705E31;1;B97H11001950003
8094422059;1;C48D18000040002
8094806D38;1;C48D18000030003
80957464F1;1;B87G19000000005
8104508393;1;D31B18000530002
8110913924;1;B61B03000280006
81111393A6;1;D31B18000530002
81132891E3;1;B19J17000300005
811647463A;1;B19J17000300005
81282224FC;1;F73J08000040001
8132191050;1;D91B18000030001
81330060DF;1;E83H18000390001
8134146D9D;1;B99J18002450005
8138784107;1;B99J18002450005
81397752D3;1;I31E18000090005
8141748EFB;1;D17B14000280003
81437513EC;1;D87H17000470001
8146924E5A;2;B16B19000040003 | B16B19000050003
81518607AD;1;C63D16001790008
8167863DC3;1;B23D18000270001
81682816B7;1;G16B11000070001
8168529360;1;E72E22000680005
8172382EF5;1;D17B04000080005
8175718FE9;1;G88C16000410001
8180230B56;1;D89D18000160006
81809258DF;1;F78I18000070008
8187302757;1;G82H19000120005
8190620970;1;J97B15000400003
81922656F0;1;F78I18000070008
8193882D52;1;D51B17001660001
8194661030;1;D51B17001660001
8195254989;1;B99J18002450005
8199115BBB;1;B11B13000160001
8202711341;1;D51B17001660001
820319637D;1;B97H11001950003
8203444026;1;D91B18000030001
820401140C;1;B28I17001280008
8208497A01;1;B19J17000300005
82102776E9;1;C48D18000030003
8211013647;1;F83E17000070005
8211230959;1;D82G19000980005
8221236A8F;1;D37B13000300002
822462359B;1;D71B17002010001
8228402423;1;J34J13000000001
8232368CF9;1;I83J10001420003
8237332D65;1;D51B17001660001
82399974A2;1;B11B13000160001
8243353617;1;D37B13000300002
8246986C21;1;C63D16001790008
8247350884;1;E81D22000050003
8247354BD0;1;E81D22000050003
825555075F;1;D73I18000030005
8265427E1F;1;D72G18000050001
82732505E0;1;B11B13000160001
8275083E81;1;B19J17000300005
82759298A7;1;B11B13000160001
827799733A;1;G53H20000070005
8280609EB4;1;D17B04000080005
8283262C08;1;C38E19000000005
8284391FB5;1;B19J17000300005
8284393160;1;D17B14000280003
8286598CFC;1;I61B20001330001
8288247DC8;1;I57B17000150005
82895419A1;1;D91B18000030001
82915882E0;1;I83J10001420003
829194055A;1;D73I18000030005
82920976E9;1;F19H17000010001
829339453B;1;B19J17000300005
830174832C;1;D91B18000030001
83068304F8;1;H32G19000170005
831181243F;1;B11B13000160001
8312484EC9;1;F78I18000070008
8322431F4F;1;B83C16000020005
8326691AC7;1;D91B18000030001
8332914A29;1;B81B04000140009
83461282B5;1;I57B17000150005
8350079F29;1;B83C16000020005
8353391C50;1;G83B18006680001
8354753049;1;B99J18002450005
8359462E42;1;D51B17001660001
8361461FE2;1;B97H11001950003
8361474A9E;1;B97H11001950003
836148755A;1;B97H11001950003
8361780724;1;D51B17001660001
8361893465;1;C63D16001790008
8369245774;1;D17B14000280003
8375712033;1;D71B17002010001
838004798B;1;F19H17000010001
83810759E0;1;F78I18000070008
838226718E;1;H63H18000320002
8382411861;1;B52I05000010001
8383538A68;1;F78I18000070008
8388059D40;1;D53D19000070005
83891555B5;1;B99D15000660003
8390756EE2;3;C47E20000050002 | C48D18000030003 | C48D18000040002
8393004DFE;1;C63D16001790008
8393087280;1;C63D16001790008
8400269944;1;I29J21016570005
84050903B0;1;I83J10001420003
84080931D8;1;C47E20000050002
8411149BB9;1;F78I18000070008
8417548C58;1;D89D18000160006
8427618262;1;D31B18000530002
84286863B9;1;B11B13000160001
84317368A8;1;G32E22000040003
8433027208;1;J57B20000750001
8441397D29;1;B19J17000300005
84445241A8;1;B86J19000030005
8446118510;1;C61B03000140004
8446385167;1;D31B18000530002
84474998B2;1;B41H18000100005
8447739EBE;1;B84B13000140001
84489240A7;1;F26J18000210002
8450441484;1;B97H11001950003
84556975E7;1;B85I17000320001
8461624106;1;E83H18000390001
8473053886;1;B43D20000190003
8473463ADD;1;B99J18002450005
8476004BC3;1;B97H11001950003
84779154C7;1;J69H12000480001
8478377209;1;D31B18000530002
8480138F3E;1;B97H11001950003
8480777E90;1;D72G18000050001
8481240CA5;1;B85I17000320001
84815078FC;1;F78I18000070008
84815089CF;1;F78I18000070008
8481509AA2;1;F78I18000070008
8486661634;1;D66B19003740001
84868409EA;1;D17B16000110008
848862394B;2;B16B19000040003 | B16B19000050003
84887756BB;2;B16B19000040003 | B16B19000050003
8489263970;1;C64H16003300001
8505381E6D;1;C93H19000880001
850954068D;1;C93H19000880001
8509668030;1;C93H19000880001
8511326867;1;D31B19000200003
8512709DAF;1;D35B16000070002
851778173D;1;F89B18000240001
8519301D93;1;D31B18000530002
85204333BE;1;B19J17000300005
8520470247;1;D72G18000050001
852124737A;1;F78I18000070008
8525540A2A;1;C63D16001790008
852700317B;1;B99J18002450005
852763288A;1;D31B18000530002
8528200D43;1;C63D16001790008
8528783E5E;1;D31B18000530002
8530468CE0;1;B52I05000010001
8530993E1E;1;D73I18000030005
853210649B;1;G83B18006680001
8533898B67;1;J57B20000750001
85347098AA;1;J35I20000230005
853543609D;1;B83C16000020005
8536398A78;1;D31B18000530002
8536770D73;1;D58I18000040008
8538155466;1;B99J18002450005
8546635A4F;1;H87B18000210007
8550610A95;1;B83C16000020005
8551926895;1;C63D16001790008
8561603A4B;1;C63D16001790008
8562484154;1;B84B13000140001
8564212351;1;F88H20000850005
8564807E50;1;B89H18000560001
8565173C59;1;J93H19000580004
8569402E3A;1;B67B06000070001
8569615E00;1;F83D18000250009
8573594197;1;J86G20000070004
8574715EA7;1;C63D16001790008
8575233A20;1;J86G20000080004
8575273B22;1;J86G20000090004
8575297EEF;1;J86G20000100004
8575385790;1;J86G20000130004
857539824C;1;J86G20000140004
857609517B;1;B11B13000160001
857810080D;1;D91B18000030001
8580201DD8;1;C29D17000700005
858032542F;1;B83C16000020005
858133774F;1;I42E20000050001
8583436B74;1;G83G17000760004
