cup;cig;source_dataset
B18B23000950001;B05B3D1F5B;cup_csv.csv
F93G22000030001;A0103DB157;cup_csv.csv
F93G22000030001;A010213907;cup_csv.csv
D63B05000020007;ZE60DCBE85;cup_csv.csv
B99J18002450005;A0637D60B7;cup_csv.csv
B21B05000450003;Z4E369327C;cup_csv.csv
F37J22000010007;B6AD4EFF73;cup_csv.csv
E81D22000050003;A06D84ECFD;cup_csv.csv
F43G18000010001;Z7927CAF6C;cup_csv.csv
F93G22000030001;BA45A81C44;cup_csv.csv
E81D22000050003;B0862A6A0B;cup_csv.csv
C35F21000380001;B78BEE07A9;cup_csv.csv
B74E23000990003;B68DC140C5;cup_csv.csv
H72C17000130002;97855657B1;cup_csv.csv
C17B17000160008;Z301EFDC80;cup_csv.csv
C17B17000160008;7135146CBC;cup_csv.csv
B21B05000450003;719964462D;cup_csv.csv
B84B13000140001;8447739EBE;cup_csv.csv
B21B05000450003;ZAC3DF29BF;cup_csv.csv
E97H21005520001;9019842117;cup_csv.csv
D18G03000280005;4897987ABA;cup_csv.csv
C35F21000380001;B42E05EE2A;cup_csv.csv
I19C12000030002;B247506C69;cup_csv.csv
G11B22001380009;9620749D38;cup_csv.csv
B85I17000320001;7285321513;cup_csv.csv
I57B17000150005;ZB41F752BC;cup_csv.csv
C35F21000240001;BA33661A8F;cup_csv.csv
F83H98000000001;ZE3190ECD8;cup_csv.csv
J81J22003700003;B28F0A36C5;cup_csv.csv
F84H20001640001;ZDB318916C;cup_csv.csv
I59J21020110005;Z893930E3E;cup_csv.csv
B11B13000160001;86150135A0;cup_csv.csv
B16B19000040003;848862394B;cup_csv.csv
F41B24000040001;B8DBC46C6F;cup_csv.csv
F87H24001510006;BB0D7F1826;cup_csv.csv
F47G20000080001;9412247FEC;cup_csv.csv
D31B19000200003;8926655CBB;cup_csv.csv
E33B08000290007;372471433A;cup_csv.csv
E81D22000050003;ZED3A838CB;cup_csv.csv
B71B15000160005;ZB21D4043C;cup_csv.csv
B97H21005950001;B13465D8C8;cup_csv.csv
H94E21000070006;Y40373A073;cup_csv.csv
H94E21000070006;9672861968;cup_csv.csv
F61B22001690004;B2EF9EEE15;cup_csv.csv
J86I22000000006;A01E4398AB;cup_csv.csv
I94F22000040001;B111A9C963;cup_csv.csv
H23G14000080005;5833608D99;cup_csv.csv
G75D09000130007;Z5515FB0E2;cup_csv.csv
C87H23001830003;B905DD315C;cup_csv.csv
H13J01000000001;ZD105DBE66;cup_csv.csv
G31B18000470007;BA066686AA;cup_csv.csv
I65F22000810005;9747966405;cup_csv.csv
F81B08000140003;Z0E1ABF087;cup_csv.csv
C39H23000010007;B6DC547A01;cup_csv.csv
G51B21000570001;A039613F39;cup_csv.csv
C63D16001790008;B27C73FCA6;cup_csv.csv
F53H98000000001;ZE810CBB5A;cup_csv.csv
C12C24000230001;B77DDB0308;cup_csv.csv
B99J18002450005;A05A6A0BBF;cup_csv.csv
I19C12000030002;Z3B3E0450A;cup_csv.csv
B19J17000300005;8208497A01;cup_csv.csv
F15F22000670007;9518902E6A;cup_csv.csv
H61B22000320006;B66B671DAA;cup_csv.csv
H27E14000010005;0390947BA8;cup_csv.csv
B29J21000680001;95511588EA;cup_csv.csv
D31B19000200003;9277005AB3;cup_csv.csv
B18H25000880002;B80D7A1544;cup_csv.csv
F83D18000250009;76521333EA;cup_csv.csv
F84H20001640001;ZB23189223;cup_csv.csv
E31B13000630003;770644144B;cup_csv.csv
H94E21000070006;9534842089;cup_csv.csv
E61D22000030002;B404D25C2F;cup_csv.csv
J89D22000790001;9712954733;cup_csv.csv
C63D16001790008;Z913280D1F;cup_csv.csv
B16B19000040003;A068804B4B;cup_csv.csv
F37J22000010007;B8ACE99586;cup_csv.csv
H99H05000020003;Z9C0DCD8A8;cup_csv.csv
F37J22000010007;B7A407AD06;cup_csv.csv
C94F21000000005;92275585C0;cup_csv.csv
F84E24000170006;B85811C96B;cup_csv.csv
F76H17000090001;Z27272E3D5;cup_csv.csv
B19J17000300005;7539106B13;cup_csv.csv
B99J18002450005;852700317B;cup_csv.csv
B71B15000160005;Z0E3155785;cup_csv.csv
G11B22001380009;B95DF42B4E;cup_csv.csv
B71B15000160005;Z191ED0F76;cup_csv.csv
C61B03000140004;Z2626B34BE;cup_csv.csv
F82B21000030005;B3C1AD81B0;cup_csv.csv
B81B04000140009;6226121595;cup_csv.csv
C94E04000050056;12935807FA;cup_csv.csv
I82C23000780001;B19640A224;cup_csv.csv
B97H11001950003;8004049E2C;cup_csv.csv
F87H24001520006;B9AF73BDCE;cup_csv.csv
C68B22000170005;B9860AFD8E;cup_csv.csv
I87G22000270001;B98430A6EC;cup_csv.csv
C68B22000170005;B7BDA53495;cup_csv.csv
C39H23000010007;B791A944AC;cup_csv.csv
C63D16001790008;ZC5329F6AA;cup_csv.csv
B99D15000660003;Z5F35380CA;cup_csv.csv
B81B19001910001;BA620953DC;cup_csv.csv
F93G22000030001;A004C06D5C;cup_csv.csv
F13D21002220001;B8DB5F560D;cup_csv.csv
B89H18000560001;YA83CE9438;cup_csv.csv
C85C23001600007;B2B767D003;cup_csv.csv
F17B22001980004;B0DD373A30;cup_csv.csv
E81D22000050003;9846130384;cup_csv.csv
F93G22000030001;B9858F5D42;cup_csv.csv
J81B22001940006;Z5936B11F5;cup_csv.csv
I81B06000030002;Z0006AFE60;cup_csv.csv
B97H21005950001;B797E523FF;cup_csv.csv
H72C17000130002;B141C82083;cup_csv.csv
C35F21000230008;9225672161;cup_csv.csv
C17B17000160008;Z971EFDCCF;cup_csv.csv
F37J22000010007;B1F9F56D2B;cup_csv.csv
C68B22000170005;B5EB5F358D;cup_csv.csv
D23B07000010001;01673093C0;cup_csv.csv
D73I18000030005;ZF52D29B58;cup_csv.csv
D72J98000000001;ZB11FF6C99;cup_csv.csv
F15F22000670007;9428456008;cup_csv.csv
E83H18000390001;8461624106;cup_csv.csv
C38E19000000005;B96C977166;cup_csv.csv
H87G26000000002;BAF3A2E5BA;cup_csv.csv
I87G22000270001;A02FBF833E;cup_csv.csv
F37J22000010007;B627E390F4;cup_csv.csv
D43H20000170001;A02430FB81;cup_csv.csv
C61I22000270006;B9CBA4A77F;cup_csv.csv
F88B22001130002;A01D5FC8B8;cup_csv.csv
J63I25000100007;BA9C0C9E13;cup_csv.csv
B21B05000450003;91163065B2;cup_csv.csv
B63D05000090003;72673506EF;cup_csv.csv
F33B03000000002;Z05173B6C8;cup_csv.csv
H53E25000670001;A069CB1B37;cup_csv.csv
J89D22000790001;A041E7D1C9;cup_csv.csv
F82B21000030005;B5E1332681;cup_csv.csv
J53D21001430001;9792628C42;cup_csv.csv
F93G22000030001;B24CCE7189;cup_csv.csv
D17B14000280003;879234047F;cup_csv.csv
I94F22000040001;B118780565;cup_csv.csv
I81B21003250005;Z353924819;cup_csv.csv
D17B18000070001;B9DFD287BC;cup_csv.csv
I89I21000260001;B91F04B20E;cup_csv.csv
E81D22000050003;A06D974F9A;cup_csv.csv
J81J22003700003;B472226F0B;cup_csv.csv
I51B08000160002;Z6E30F7DBF;cup_csv.csv
F76H17000090001;Z193D10C51;cup_csv.csv
H94E21000070006;B2DFFB0C73;cup_csv.csv
