score;cup;title;category;region;province;municipality;value_eur;client;phase;status;source_url
100;I52B03000010002;UFFICIO TECNICO;Cultura / centri civici;SARDEGNA;ORISTANO;BONARCADO;190000000.0;COMUNE DI BONARCADO - ORISTANO -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/I52B03000010002
100;F19I04000020001;MUSEO NAZIONALE DI ARCHEOLOGIA SUBACQUEA;Cultura / centri civici;FRIULI-VENEZIA GIULIA;GORIZIA;GRADO;180802120.0;MINISTERO DELLA CULTURA;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/F19I04000020001
100;B91J03000010002;Recupero riqualificazione e valorizzazione teatro S. Francesco sala Ignazio Silone.;Cultura / centri civici;ABRUZZO;L'AQUILA;PESCINA;179898190.0;COMUNE DI PESCINA - L'AQUILA -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/B91J03000010002
100;D79J21006450006;PROGETTO DI SVILUPPO E POTENZIAMENTO DELLE ATTIVITÀ DE LA BIENNALE DI VENEZIA IN FUNZIONE DELLA COSTRUZIONE DI UN POLO PERMANENTE DI ECCELLENZA NAZIONALE ED INTERNAZIONALE A VENEZIA;Cultura / centri civici;VENETO;VENEZIA;VENEZIA;169556000.0;FONDAZIONE ' LA BIENNALE DI VENEZIA ';programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/D79J21006450006
100;J89H09000490005;MUSEO CIVICO DI ZOOLOGIA;Cultura / centri civici;LAZIO;ROMA;ROMA;160598000.0;ROMA CAPITALE;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J89H09000490005
100;J36D04000090006;Museo archeologico del castello normanno in Adrano. Lavori di adeguamento alla normativa di sicurezza;Cultura / centri civici;SICILIA;CATANIA;ADRANO;157002900.0;COMUNE DI ADRANO - CATANIA -;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/J36D04000090006
100;G55J05000220001;Realizzazione di un museo delle favole e di un parco giochi all'aperto;Cultura / centri civici;CALABRIA;REGGIO DI CALABRIA;BRUZZANO ZEFFIRIO;150000000.0;CONSORZIO EVOLUZIONE PER LO SVILUPPO ECONOMICO E SOCIALE DEL BASSO IONIO REGGINO;programmazione / progetto attivo;ATTIVO;https://www.opencup.gov.it/portale/progetto/-/cup/G55J05000220001
100;I56F03000020002;UFFICIO TECNICO;Cultura / centri civici;SARDEGNA;ORISTANO;BONARCADO;141000000.0;COMUNE DI BONARCADO - ORISTANO -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/I56F03000020002
100;F75G06000040001;Museo paleocristiano di Aquileia Restauro;Cultura / centri civici;FRIULI-VENEZIA GIULIA;UDINE;AQUILEIA;138179000.0;MINISTERO DELLA CULTURA;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/F75G06000040001
100;I66G04000200001;Progetto per il recupero a fini turistici dell'ecomuseo CENTRALE BERTIN;Cultura / centri civici;VALLE D'AOSTA;AOSTA;ETROUBLES;133765600.0;COMUNE DI ETROUBLES - AOSTA -;chiuso;CHIUSO;https://www.opencup.gov.it/portale/progetto/-/cup/I66G04000200001
