municipality;municipality_norm;province;province_norm;province_code;region;branch;branch_candidates;confidence;caps
Pozza;POZZA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41053
Prignano Sulla Secchia;PRIGNANO SULLA SECCHIA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41048
Quarantoli;QUARANTOLI;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41037
Rastellino;RASTELLINO;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41013
Ravarino;RAVARINO;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41017
Recovato;RECOVATO;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41013
Redu';REDU;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41015
Renno;RENNO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41026
Reno Finalese;RENO FINALESE;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41034
Ricco';RICCO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41028
Ricco' Nel Frignano;RICCO NEL FRIGNANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41028
Riccovolto;RICCOVOLTO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41044
Riolo;RIOLO;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41013
Riolunato;RIOLUNATO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41020
Rivara;RIVARA;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41038
Rocca Malatina;ROCCA MALATINA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41052
Rocca Santa Maria;ROCCA SANTA MARIA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41028
Roccapelago;ROCCAPELAGO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41027
Rocchetta;ROCCHETTA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41052
Rocchetta Sandri;ROCCHETTA SANDRI;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41029
Romanoro;ROMANORO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41044
Roncoscaglia;RONCOSCAGLIA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41029
Rosola;ROSOLA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41059
Rovereto Sulla Secchia;ROVERETO SULLA SECCHIA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41016
Rovolo;ROVOLO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41044
Rubbiano;RUBBIANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41045
Saliceto Buzzalino;SALICETO BUZZALINO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41011
Saliceto Panaro;SALICETO PANARO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41100
Saliceto San Giuliano;SALICETO SAN GIULIANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41100
Saltino;SALTINO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41048
Saltino Sulla Secchia;SALTINO SULLA SECCHIA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41048
Salto;SALTO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41055
Samone;SAMONE;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41052
San Biagio;SAN BIAGIO;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41038
San Biagio In Padule;SAN BIAGIO IN PADULE;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41038
San Cesario Sul Panaro;SAN CESARIO SUL PANARO;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41018
San Dalmazio;SAN DALMAZIO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41028
San Dalmazio Nel Frignano;SAN DALMAZIO NEL FRIGNANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41028
San Damaso;SAN DAMASO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41100
San Donnino;SAN DONNINO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41100
San Felice Sul Panaro;SAN FELICE SUL PANARO;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41038
San Giacomo Maggiore;SAN GIACOMO MAGGIORE;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41055
San Giacomo Roncole;SAN GIACOMO RONCOLE;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41037
San Giovanni;SAN GIOVANNI;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41033
San Lorenzo Della Pioppa;SAN LORENZO DELLA PIOPPA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41030
San Lorenzo Pioppa;SAN LORENZO PIOPPA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41030
San Marino;SAN MARINO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41012
San Martino;SAN MARTINO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41030 | 41055
San Martino Carano;SAN MARTINO CARANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41037
San Martino Di San Prospero;SAN MARTINO DI SAN PROSPERO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41030
San Martino Secchia;SAN MARTINO SECCHIA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41012
San Martino Spino;SAN MARTINO SPINO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41037
San Martino Vallata;SAN MARTINO VALLATA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41040
San Michele Dei Mucchietti;SAN MICHELE DEI MUCCHIETTI;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41049
San Pietro;SAN PIETRO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41030
San Pietro In Elda;SAN PIETRO IN ELDA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41030
San Possidonio;SAN POSSIDONIO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41039
San Prospero;SAN PROSPERO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41030
San Vito;SAN VITO;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41057
Sant'Andrea Pelago;SANT ANDREA PELAGO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41027
Sant'Anna Pelago;SANT ANNA PELAGO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41027
Sant'Antonio;SANT ANTONIO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41026
Sant'Antonio In Mercadello;SANT ANTONIO IN MERCADELLO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41016
Santa Caterina;SANTA CATERINA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41033
Santa Croce;SANTA CROCE;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41012
Sassatella;SASSATELLA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41044
Sasso Guidano;SASSO GUIDANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41026
Sasso Morello;SASSO MORELLO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41048
Sassostorno;SASSOSTORNO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41023
Sassuolo;SASSUOLO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41049
Savignano Sul Panaro;SAVIGNANO SUL PANARO;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41056
Savoniero;SAVONIERO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41046
Selva;SELVA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41028
Selva Nel Frignano;SELVA NEL FRIGNANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41028
Semelano;SEMELANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41055
Serpiano;SERPIANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41020
Serramazzoni;SERRAMAZZONI;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41028
Serrazzone;SERRAZZONE;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41021
Sestola;SESTOLA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41029
Solara;SOLARA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41030
Soliera;SOLIERA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41019
Solignano Nuovo;SOLIGNANO NUOVO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41014
Sorbara;SORBARA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41030
Sozzigalli;SOZZIGALLI;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41019
Spezzano;SPEZZANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41042
Spilamberto;SPILAMBERTO;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41057
Staggia;STAGGIA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41030
Staggia Modenese;STAGGIA MODENESE;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41030
Stuffione;STUFFIONE;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41017
Susano;SUSANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41046
Tagliole;TAGLIOLE;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41027
Torre Maina;TORRE MAINA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41053
Tramuschio;TRAMUSCHIO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41037
Trentino Nel Frignano;TRENTINO NEL FRIGNANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41021
Trignano;TRIGNANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41021
Trignano Nel Frignano;TRIGNANO NEL FRIGNANO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41021
Ubersetto;UBERSETTO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41042
Vaciglio;VACIGLIO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41100
Vaglio;VAGLIO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41023
Vallalta;VALLALTA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41033
Valle;VALLE;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41028
Varana;VARANA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41028
Verica;VERICA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41026
Vesale;VESALE;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41029
Via Larga;VIA LARGA;Modena;MODENA;MO;Emilia-Romagna;Bologna;Bologna;alta;41015
Vignola;VIGNOLA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41058
Villa Bianca;VILLA BIANCA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41054
Villa Motta;VILLA MOTTA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41032
Villafranca;VILLAFRANCA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41036
Villafranca Di Medolla;VILLAFRANCA DI MEDOLLA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41036
Villanova;VILLANOVA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41100
Villanova San Pancrazio;VILLANOVA SAN PANCRAZIO;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41100
Vitriola;VITRIOLA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41045
Zocca;ZOCCA;Modena;MODENA;MO;Emilia-Romagna;Sassuolo;Sassuolo;alta;41059
Albareto;ALBARETO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43051
Alberi;ALBERI;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Baganzola;BAGANZOLA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Bagni Di Tabiano;BAGNI DI TABIANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43039
Bardi;BARDI;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43032
Bargone;BARGONE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43039
Basilicagoiano;BASILICAGOIANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43022
Basilicanova;BASILICANOVA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43022
Bazzano Parmense;BAZZANO PARMENSE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43024
Bedonia;BEDONIA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43041
Beduzzo;BEDUZZO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43021
Berceto;BERCETO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43042
Bergotto;BERGOTTO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43042
Bertorella;BERTORELLA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43051
Bianconese;BIANCONESE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43010
Bore;BORE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43030
Borgo Val Di Taro;BORGO VAL DI TARO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43043
Boschi Di Bardone;BOSCHI DI BARDONE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43040
Bosco;BOSCO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43021
Bosco Di Corniglio;BOSCO DI CORNIGLIO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43021
Botteghino;BOTTEGHINO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Busseto;BUSSETO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43011
Calestano;CALESTANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43030
Campore;CAMPORE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43039
Cangelasio;CANGELASIO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43039
Capoponte;CAPOPONTE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43028
Capriglio;CAPRIGLIO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43028
Carignano;CARIGNANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Carpadasco;CARPADASCO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43049
Carpaneto;CARPANETO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43028
Casale;CASALE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43055
Casale Di Tornolo;CASALE DI TORNOLO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43059
Casaselvatica;CASASELVATICA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43042
Casola;CASOLA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43040
Cassio;CASSIO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43040
Castelguelfo;CASTELGUELFO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43010
Castellonchio;CASTELLONCHIO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43042
Castione De' Baratti;CASTIONE DE BARATTI;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43029
Castione Dei Marchesi;CASTIONE DEI MARCHESI;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43036
Castione Marchesi;CASTIONE MARCHESI;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43036
Cella Di Costamezzana;CELLA DI COSTAMEZZANA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43015
Cereseto;CERESETO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43053
Chiozzola;CHIOZZOLA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43058
Chiusa Ferranda;CHIUSA FERRANDA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43036
Cogolonchio;COGOLONCHIO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43036
Collecchio;COLLECCHIO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43044
Colorno;COLORNO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43052
Coltaro;COLTARO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43018
Compiano;COMPIANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43053
Congelasio;CONGELASIO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43039
Corcagnano;CORCAGNANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Corniana;CORNIANA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43040
Corniglio;CORNIGLIO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43021
Cortile San Martino;CORTILE SAN MARTINO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Costamezzana;COSTAMEZZANA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43015
Cozzano;COZZANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43013
Drusco;DRUSCO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43041
Felegara;FELEGARA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43014
Felino;FELINO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43035
Fidenza;FIDENZA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43036
Fontana;FONTANA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Fontanellato;FONTANELLATO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43012
Fontanelle;FONTANELLE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43010
Fontanini;FONTANINI;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Fontevivo;FONTEVIVO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43010
Fornovo Di Taro;FORNOVO DI TARO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43045
Fraore;FRAORE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Fugazzolo;FUGAZZOLO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43042
Gaiano;GAIANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43044
Gaione;GAIONE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Ghiare;GHIARE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43042
Ghiare Di Berceto;GHIARE DI BERCETO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43042
Ghiare Di Corniglio;GHIARE DI CORNIGLIO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43021
Gramignazzo;GRAMIGNAZZO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43018
Gravago;GRAVAGO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43032
Grotta;GROTTA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43047
Iggio;IGGIO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43047
Isola;ISOLA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43025
Isola Di Palanzano;ISOLA DI PALANZANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43025
Lagrimone;LAGRIMONE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43028
Langhirano;LANGHIRANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43013
Lesignano De' Bagni;LESIGNANO DE BAGNI;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43037
Lesignano Palmia;LESIGNANO PALMIA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43040
Lupazzano;LUPAZZANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43024
Madregolo;MADREGOLO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43044
Mamiano;MAMIANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43029
Marano;MARANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Mariano;MARIANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43047
Marzolara;MARZOLARA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43030
Masanti;MASANTI;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43041
Masanti Di Sotto;MASANTI DI SOTTO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43041
Medesano;MEDESANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43014
Mediano;MEDIANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43024
Mezzani;MEZZANI;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43058
Mezzano Inferiore;MEZZANO INFERIORE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43055
Mezzano Rondani;MEZZANO RONDANI;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43055
Mezzano Superiore;MEZZANO SUPERIORE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43055
Moletolo;MOLETOLO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Molino Dell'Anzola;MOLINO DELL ANZOLA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43041
Monchio Delle Corti;MONCHIO DELLE CORTI;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43010
Montechiarugolo;MONTECHIARUGOLO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43022
Monticelli Terme;MONTICELLI TERME;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43022
Monticelli Terme Di Montechiarugolo;MONTICELLI TERME DI MONTECHIARUGOLO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43022
Mormorola;MORMOROLA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43050
Mozzano;MOZZANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43024
Mulazzano;MULAZZANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43037
Mulazzano Ponte;MULAZZANO PONTE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43037
Musiara Inferiore;MUSIARA INFERIORE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43028
Neviano De' Rossi;NEVIANO DE ROSSI;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43045
Neviano Degli Arduini;NEVIANO DEGLI ARDUINI;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43024
Noceto;NOCETO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43015
Ostia Di Borgo Val Di Taro;OSTIA DI BORGO VAL DI TARO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43043
Ostia Parmense;OSTIA PARMENSE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43043
Ozzano Taro;OZZANO TARO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43044
Palanzano;PALANZANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43025
Panocchia;PANOCCHIA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Paradigna;PARADIGNA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100
Parma;PARMA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43100 | 43121 | 43122 | 43123 | 43124 | 43125 | 43126
Parola;PAROLA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43012
Pastorello;PASTORELLO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43013
Pellegrino Parmense;PELLEGRINO PARMENSE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43047
Pessola;PESSOLA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43049
Piantonia;PIANTONIA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43045
Pie' Di Via;PIE DI VIA;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43039
Pieve Di Cusignano;PIEVE DI CUSIGNANO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43036
Pieveottoville;PIEVEOTTOVILLE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43016
Pilastro;PILASTRO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43013
Pione;PIONE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43032
Polesine Parmense;POLESINE PARMENSE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43016
Ponte Taro;PONTE TARO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43010
Ponteceno;PONTECENO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43041
Pontestrambo;PONTESTRAMBO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43041
Pontolo;PONTOLO;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43043
Porcigatone;PORCIGATONE;Parma;PARMA;PR;Emilia-Romagna;Parma;Parma;alta;43043
