cap;branch
09029;Cagliari
09030;Cagliari
09031;Cagliari
09032;Cagliari
09033;Cagliari
09034;Cagliari
09035;Cagliari
09036;Cagliari
09037;Cagliari
09038;Cagliari
09039;Cagliari
09040;Cagliari
09041;Cagliari
09042;Cagliari
09043;Cagliari
09044;Cagliari
09045;Cagliari
09047;Cagliari
09048;Cagliari
09049;Cagliari
09050;Cagliari
09051;Cagliari
09052;Cagliari
09053;Cagliari
09054;Cagliari
09055;Cagliari
09056;Cagliari
09057;Cagliari
09058;Cagliari
09059;Cagliari
09060;Cagliari
09061;Cagliari
09062;Cagliari
09063;Cagliari
09064;Cagliari
09065;Cagliari
09066;Cagliari
09067;Cagliari
09068;Cagliari
09069;Cagliari
09070;Sassari
09071;Sassari
09072;Cagliari
09073;Sassari
09074;Sassari
09075;Sassari
09076;Sassari
09077;Cagliari
09078;Sassari
09079;Sassari
09080;Cagliari
09081;Sassari
09082;Sassari
09083;Sassari
09084;Sassari
09085;Cagliari
09086;Cagliari
09088;Cagliari
09089;Sassari
09090;Cagliari
09091;Cagliari
09092;Cagliari
09093;Cagliari
09094;Cagliari
09095;Cagliari
09096;Cagliari
09097;Cagliari
09098;Cagliari
09099;Cagliari
09100;Cagliari
09121;Cagliari
09122;Cagliari
09123;Cagliari
09124;Cagliari
09125;Cagliari
09126;Cagliari
09127;Cagliari
09128;Cagliari
09129;Cagliari
09130;Cagliari
09131;Cagliari
09132;Cagliari
09133;Cagliari
09134;Cagliari
09170;Cagliari
10010;Torino
10011;Torino
10012;Torino
10013;Torino
10014;Torino
10015;Torino
10016;Torino
10017;Torino
10018;Torino
10019;Torino
10020;Torino
10021;Torino
10022;Torino
10023;Torino
10024;Torino
10025;Torino
10026;Torino
10028;Torino
10029;Torino
10030;Torino
10031;Torino
10032;Torino
10034;Torino
10035;Torino
10036;Torino
10037;Torino
10038;Torino
10039;Torino
10040;Torino
10041;Torino
10042;Torino
10043;Torino
10044;Torino
10045;Torino
10046;Torino
10048;Torino
10050;Torino
10051;Torino
10052;Torino
10053;Torino
10054;Torino
10055;Torino
10056;Torino
10057;Torino
10058;Torino
10059;Torino
10060;Torino
10061;Torino
10062;Torino
10063;Torino
10064;Torino
10065;Torino
10066;Torino
10067;Torino
10068;Torino
10069;Torino
10070;Torino
10071;Torino
10072;Torino
10073;Torino
10074;Torino
10075;Torino
10076;Torino
10077;Torino
10078;Torino
10079;Torino
10080;Torino
10081;Torino
10082;Torino
10083;Torino
10084;Torino
10085;Torino
10086;Torino
10087;Torino
10088;Torino
10089;Torino
10090;Torino
10091;Torino
10092;Torino
10093;Torino
10094;Torino
10095;Torino
10098;Torino
10099;Torino
10100;Torino
10121;Torino
10122;Torino
10123;Torino
10124;Torino
10125;Torino
10126;Torino
10127;Torino
10128;Torino
10129;Torino
10130;Torino
10131;Torino
10132;Torino
10133;Torino
10134;Torino
10135;Torino
10136;Torino
10137;Torino
10138;Torino
10139;Torino
10140;Torino
10141;Torino
10142;Torino
10143;Torino
10144;Torino
10145;Torino
10146;Torino
10147;Torino
10148;Torino
10149;Torino
10150;Torino
10151;Torino
10152;Torino
10153;Torino
10154;Torino
10155;Torino
10156;Torino
11010;Torino
11011;Torino
11012;Torino
11013;Torino
11014;Torino
11015;Torino
11016;Torino
11017;Torino
11018;Torino
11020;Torino
11021;Torino
11022;Torino
11023;Torino
11024;Torino
11025;Torino
11026;Torino
11027;Torino
11028;Torino
11029;Torino
11100;Torino
12010;Cuneo
12011;Cuneo
12012;Cuneo
12013;Cuneo
12014;Cuneo
12015;Cuneo
12016;Cuneo
12017;Cuneo
12018;Cuneo
12019;Cuneo
12020;Cuneo
12021;Cuneo
12022;Cuneo
12023;Cuneo
12024;Cuneo
12025;Cuneo
12026;Cuneo
12027;Cuneo
12028;Cuneo
12029;Cuneo
12030;Cuneo
12031;Cuneo
12032;Cuneo
12033;Cuneo
12034;Cuneo
12035;Cuneo
12036;Cuneo
12037;Cuneo
12038;Cuneo
12039;Cuneo
12040;Cuneo
12041;Cuneo
12042;Cuneo
12043;Cuneo
12044;Cuneo
12045;Cuneo
12046;Cuneo
12047;Cuneo
12048;Cuneo
12049;Cuneo
12050;Cuneo
12051;Cuneo
12052;Cuneo
12053;Cuneo
12054;Cuneo
12055;Cuneo
12056;Cuneo
12058;Cuneo
12060;Cuneo
12061;Cuneo
12062;Cuneo
12063;Cuneo
12064;Cuneo
12065;Cuneo
12066;Cuneo
12068;Cuneo
12069;Cuneo
12070;Cuneo
12071;Cuneo
12072;Cuneo
12073;Cuneo
12074;Cuneo
12075;Cuneo
12076;Cuneo
12077;Cuneo
12078;Cuneo
12079;Cuneo
12080;Cuneo
12081;Cuneo
12082;Cuneo
12083;Cuneo
12084;Cuneo
12087;Cuneo
12088;Cuneo
12089;Cuneo
12100;Cuneo
13010;Torino
13011;Torino
13012;Torino
13017;Torino
13018;Torino
13019;Torino
13020;Torino
13021;Torino
13022;Torino
13023;Torino
13024;Torino
13025;Torino
13026;Torino
13027;Torino
13028;Torino
13029;Torino
13030;Torino
13031;Torino
13032;Torino
13033;Torino
13034;Torino
13035;Torino
13036;Torino
13037;Torino
13038;Torino
13039;Torino
13040;Torino
13041;Torino
13043;Torino
13044;Torino
13045;Torino
13046;Torino
13047;Torino
13048;Torino
13049;Torino
13060;Torino
13100;Torino
13811;Torino
13812;Torino
13814;Torino
13815;Torino
13816;Torino
13817;Torino
13818;Torino
13821;Torino
13822;Torino
13823;Torino
13824;Torino
13825;Torino
13831;Torino
13833;Torino
13834;Torino
13835;Torino
13836;Torino
13841;Torino
13843;Torino
13844;Torino
13845;Torino
13847;Torino
13848;Torino
13851;Torino
13852;Torino
13853;Torino
13854;Torino
13855;Torino
13856;Torino
13861;Torino
13862;Torino
13863;Torino
13864;Torino
13865;Torino
13866;Torino
13867;Torino
13868;Torino
13871;Torino
13872;Torino
13873;Torino
13874;Torino
13875;Torino
13876;Torino
13877;Torino
13878;Torino
13881;Torino
13882;Torino
13883;Torino
13884;Torino
13885;Torino
13886;Torino
13887;Torino
13888;Torino
13891;Torino
13893;Torino
13894;Torino
13895;Torino
13896;Torino
13897;Torino
13898;Torino
13899;Torino
13900;Torino
14010;Torino
14011;Torino
14012;Torino
14013;Torino
14014;Torino
14015;Torino
14016;Torino
14017;Torino
14018;Torino
14019;Torino
14020;Torino
14021;Torino
14022;Torino
14023;Torino
14024;Torino
14025;Torino
14026;Torino
14030;Torino
14031;Torino
14032;Torino
14033;Torino
14034;Torino
14035;Torino
14036;Torino
14037;Torino
14039;Torino
14040;Cuneo
14041;Cuneo
14042;Cuneo
14043;Cuneo
14044;Cuneo
14045;Cuneo
14046;Cuneo
14047;Cuneo
14048;Cuneo
14049;Cuneo
14050;Cuneo
14051;Cuneo
14052;Cuneo
14053;Cuneo
14054;Cuneo
14055;Cuneo
14057;Cuneo
14058;Cuneo
14059;Cuneo
14100;Torino
15010;Genova
15011;Genova
15012;Genova
15013;Genova
15015;Genova
15016;Genova
15017;Genova
15018;Genova
15019;Genova
15020;Torino
15021;Torino
15022;Milano Sud
15023;Milano Sud
15024;Milano Sud
15025;Torino
15026;Milano Sud
15027;Torino
15028;Milano Sud
15029;Milano Sud
15030;Torino
15031;Torino
15032;Milano Sud
15033;Torino
15034;Torino
15035;Torino
15036;Milano Sud
15037;Milano Sud
15038;Torino
15039;Torino
15040;Milano Sud
15041;Torino
15042;Milano Sud
15043;Milano Sud
15044;Milano Sud
15045;Milano Sud
15046;Milano Sud
15047;Milano Sud
15048;Milano Sud
15049;Torino
15050;Milano Sud
15051;Milano Sud
15052;Milano Sud
15053;Milano Sud
15054;Milano Sud
15055;Milano Sud
15056;Milano Sud
15057;Milano Sud
15058;Milano Sud
15059;Milano Sud
15060;Genova
15061;Genova
15062;Milano Sud
15063;Genova
15064;Genova
15065;Milano Sud
15066;Genova
15067;Genova
15068;Genova
15069;Genova
15070;Genova
15071;Genova
15072;Milano Sud
15073;Milano Sud
15074;Genova
15075;Genova
15076;Genova
15077;Genova
15078;Genova
15079;Genova
15100;Torino
15121;Milano Sud
15122;Milano Sud
16010;Genova
16011;Genova
16012;Genova
16013;Genova
16014;Genova
16015;Genova
16016;Genova
16017;Genova
16018;Genova
16019;Genova
16020;Genova
16021;Genova
16022;Genova
16023;Genova
16024;Genova
16025;Genova
16026;Genova
16027;Genova
16028;Genova
16029;Genova
16030;Genova
16031;Genova
16032;Genova
16033;Genova
16034;Genova
16035;Genova
16036;Genova
16037;Genova
16038;Genova
16039;Genova
16040;Genova
16041;Genova
16042;Genova
16043;Genova
16044;Genova
16045;Genova
16046;Genova
16047;Genova
16048;Genova
16049;Genova
16100;Genova
16121;Genova
16122;Genova
16123;Genova
16124;Genova
16125;Genova
16126;Genova
16127;Genova
16128;Genova
16129;Genova
16130;Genova
16131;Genova
16132;Genova
16133;Genova
16134;Genova
16135;Genova
16136;Genova
16137;Genova
16138;Genova
16139;Genova
16140;Genova
16141;Genova
16142;Genova
16143;Genova
16144;Genova
16145;Genova
16146;Genova
16147;Genova
16148;Genova
16149;Genova
16150;Genova
16151;Genova
16152;Genova
16153;Genova
16154;Genova
16155;Genova
16156;Genova
16157;Genova
16158;Genova
16159;Genova
16160;Genova
16161;Genova
16162;Genova
16163;Genova
16164;Genova
16165;Genova
16166;Genova
16167;Genova
17010;Albenga
17011;Albenga
17012;Albenga
17013;Albenga
17014;Albenga
17015;Albenga
17017;Albenga
17019;Albenga
17020;Albenga
17021;Albenga
17022;Albenga
17023;Albenga
17024;Albenga
17025;Albenga
17026;Albenga
17027;Albenga
17028;Albenga
17030;Albenga
17031;Albenga
17032;Albenga
17033;Albenga
17034;Albenga
17035;Albenga
17037;Albenga
17038;Albenga
17039;Albenga
17040;Albenga
17041;Albenga
17042;Albenga
17043;Albenga
17044;Albenga
17045;Albenga
17046;Albenga
17047;Albenga
17048;Albenga
17051;Albenga
17052;Albenga
17053;Albenga
17054;Albenga
17055;Albenga
17056;Albenga
17057;Albenga
17058;Albenga
17100;Albenga
18010;Albenga
18011;Albenga
18012;Albenga
18013;Albenga
18014;Albenga
18015;Albenga
18016;Albenga
18017;Albenga
18018;Albenga
18019;Albenga
18020;Albenga
18021;Albenga
18022;Albenga
18023;Albenga
18024;Albenga
18025;Cuneo
18026;Albenga
18027;Albenga
18028;Albenga
18030;Albenga
18031;Albenga
18032;Albenga
18033;Albenga
18034;Albenga
18035;Albenga
18036;Albenga
18037;Albenga
18038;Albenga
18039;Albenga
18100;Albenga
19010;Lucca
19011;Lucca
19012;Lucca
19013;Lucca
19014;Lucca
19015;Lucca
19016;Lucca
19017;Lucca
19018;Lucca
19020;Lucca
19021;Lucca
19025;Lucca
19028;Lucca
19031;Lucca
19032;Lucca
19033;Lucca
19034;Lucca
19037;Lucca
19038;Lucca
19100;Lucca
19121;Lucca
19122;Lucca
19123;Lucca
19124;Lucca
19125;Lucca
19126;Lucca
19127;Lucca
19128;Lucca
19129;Lucca
19130;Lucca
19131;Lucca
19132;Lucca
19133;Lucca
19134;Lucca
19135;Lucca
19136;Lucca
19137;Lucca
20001;Milano Ovest
20002;Milano Ovest
20003;Milano Ovest
20004;Milano Ovest
20005;Milano Ovest
20006;Milano Ovest
20007;Milano Ovest
20008;Milano Ovest
20009;Milano Ovest
20010;Milano Ovest
20011;Milano Sud
20012;Milano Ovest
20013;Milano Sud
20014;Milano Ovest
20015;Milano Ovest
20016;Milano Ovest
20017;Milano Ovest
20018;Milano Ovest
20019;Milano Ovest
20020;Milano Ovest
20021;Milano Nord
20022;Milano Ovest
20023;Milano Ovest
20024;Milano Ovest
20025;Milano Ovest
20026;Milano Nord
20027;Milano Ovest
20028;Milano Ovest
20029;Milano Ovest
20030;Milano Nord
20031;Milano Nord
20032;Milano Nord
20033;Milano Nord
20034;Milano Ovest
20035;Milano Ovest
20036;Milano Ovest
20037;Milano Nord
20038;Milano Ovest
20039;Milano Ovest
20040;Milano Est
20041;Milano Est
20042;Milano Est
20043;Milano Ovest
20044;Milano Ovest
20045;Milano Ovest
20046;Milano Sud
20047;Milano Sud
20048;Milano Est
20049;Milano Est
20050;Milano Est
20051;Milano Est
20052;Milano Est
20053;Milano Est
20054;Milano Est
20055;Milano Est
20056;Milano Est
20057;Milano Sud
20058;Milano Sud
20059;Milano Sud
20060;Milano Est
20061;Milano Est
20062;Milano Est
20063;Milano Est
20064;Milano Est
20065;Milano Est
20066;Milano Est
20067;Milano Est
20068;Milano Est
20069;Milano Est
20070;Milano Est
20071;Milano Sud
20072;Milano Sud
20073;Milano Sud
20074;Milano Sud
20075;Milano Est
20076;Milano Est
20077;Milano Sud
20078;Milano Sud
20079;Milano Sud
20080;Milano Sud
20081;Milano Sud
20082;Milano Sud
20083;Milano Sud
20084;Milano Sud
20085;Milano Sud
20086;Milano Sud
20087;Milano Sud
20088;Milano Sud
20089;Milano Sud
20090;Milano Sud
20091;Milano Nord
20092;Milano Nord
20093;Milano Est
20094;Milano Sud
20095;Milano Nord
20096;Milano Est
20097;Milano Sud
20098;Milano Sud
20099;Milano Nord
20100;Milano Nord
20121;Milano Sud
20122;Milano Sud
20123;Milano Sud
20124;Milano Nord
20125;Milano Nord
20126;Milano Nord
20127;Milano Est
20128;Milano Est
20129;Milano Est
20130;Milano Est
20131;Milano Est
20132;Milano Est
20133;Milano Est
20134;Milano Est
20135;Milano Est
20136;Milano Sud
20137;Milano Est
20138;Milano Est
20139;Milano Sud
20140;Milano Sud
20141;Milano Sud
20142;Milano Sud
20143;Milano Sud
20144;Milano Sud
20145;Milano Ovest
20146;Milano Sud
20147;Milano Sud
20148;Milano Ovest
20149;Milano Ovest
20150;Milano Nord
20151;Milano Ovest
20152;Milano Sud
20153;Milano Ovest
20154;Milano Nord
20155;Milano Nord
20156;Milano Ovest
20157;Milano Ovest
20158;Milano Nord
20159;Milano Nord
20160;Milano Nord
20161;Milano Nord
20162;Milano Nord
20811;Milano Nord
20812;Milano Nord
20813;Milano Nord
20814;Milano Nord
20815;Milano Nord
20816;Milano Nord
20821;Milano Nord
20822;Milano Nord
20823;Milano Nord
20824;Milano Nord
20825;Milano Nord
20826;Milano Nord
20831;Milano Nord
20832;Milano Nord
20833;Milano Nord
20834;Milano Nord
20835;Milano Nord
20836;Milano Nord
20837;Milano Nord
20838;Milano Nord
20841;Milano Nord
20842;Milano Nord
20843;Milano Nord
20844;Milano Nord
20845;Milano Nord
20846;Milano Nord
20847;Milano Nord
20851;Milano Nord
20852;Milano Nord
20853;Milano Nord
20854;Milano Nord
20855;Milano Nord
20856;Milano Nord
20857;Milano Nord
20861;Milano Est
20862;Milano Nord
20863;Milano Est
20864;Milano Est
20865;Milano Est
20866;Milano Est
20867;Milano Est
20871;Milano Est
20872;Milano Est
20873;Milano Est
20874;Milano Est
20875;Milano Est
20876;Milano Est
20877;Milano Est
20881;Milano Est
20882;Milano Est
20883;Milano Est
20884;Milano Est
20885;Milano Est
20886;Milano Est
20900;Milano Nord
21010;Milano Ovest
21011;Milano Ovest
21012;Milano Ovest
21013;Milano Ovest
21014;Milano Ovest
21015;Milano Ovest
21016;Milano Ovest
21017;Milano Ovest
21018;Milano Ovest
21019;Milano Ovest
21020;Milano Ovest
21021;Milano Ovest
21022;Milano Ovest
21023;Milano Ovest
21024;Milano Ovest
21025;Milano Ovest
21026;Milano Ovest
21027;Milano Ovest
21028;Milano Ovest
21029;Milano Ovest
21030;Milano Ovest
21031;Milano Ovest
21032;Milano Ovest
21033;Milano Ovest
21034;Milano Ovest
21035;Milano Ovest
21036;Milano Ovest
21037;Milano Ovest
21038;Milano Ovest
21039;Milano Ovest
21040;Milano Ovest
21041;Milano Ovest
21042;Milano Ovest
21043;Milano Ovest
21044;Milano Ovest
21045;Milano Ovest
21046;Milano Ovest
21047;Milano Ovest
21048;Milano Ovest
21049;Milano Ovest
21050;Milano Ovest
21051;Milano Ovest
21052;Milano Ovest
21053;Milano Ovest
21054;Milano Ovest
21055;Milano Ovest
21056;Milano Ovest
21057;Milano Ovest
21058;Milano Ovest
21059;Milano Ovest
21061;Milano Ovest
21062;Milano Ovest
21100;Milano Ovest
22010;Milano Nord
22011;Milano Nord
22012;Milano Nord
22013;Milano Nord
22014;Milano Nord
22015;Milano Nord
22016;Milano Nord
22017;Milano Nord
22018;Milano Nord
22019;Milano Nord
22020;Milano Nord
22021;Lecco
22022;Milano Nord
22023;Milano Nord
22024;Milano Nord
22025;Lecco
22026;Milano Nord
22027;Milano Nord
22028;Milano Nord
22029;Milano Nord
22030;Lecco
22031;Lecco
22032;Lecco
22033;Lecco
22034;Milano Nord
22035;Lecco
22036;Lecco
22037;Lecco
22038;Milano Nord
22039;Lecco
22040;Lecco
22041;Milano Nord
22042;Milano Nord
22043;Milano Nord
22044;Lecco
22045;Lecco
22046;Lecco
22060;Milano Nord
22063;Milano Nord
22066;Milano Nord
22069;Milano Nord
22070;Milano Nord
22071;Milano Nord
22072;Milano Nord
22073;Milano Nord
22074;Milano Nord
22075;Milano Nord
22076;Milano Nord
22077;Milano Nord
22078;Milano Nord
22079;Milano Nord
22100;Milano Nord
23010;Sondrio
23011;Sondrio
23012;Sondrio
23013;Sondrio
23014;Sondrio
23015;Sondrio
23016;Sondrio
23017;Sondrio
23018;Sondrio
23019;Sondrio
23020;Sondrio
23021;Sondrio
23022;Sondrio
23023;Sondrio
23024;Sondrio
23025;Sondrio
23026;Sondrio
23027;Sondrio
23029;Sondrio
23030;Sondrio
23031;Sondrio
23032;Sondrio
23033;Sondrio
23034;Sondrio
23035;Sondrio
23036;Sondrio
23037;Sondrio
23038;Sondrio
23041;Sondrio
23100;Sondrio
23801;Lecco
23802;Lecco
23804;Lecco
23805;Lecco
23806;Lecco
23807;Lecco
23808;Lecco
23811;Lecco
23813;Lecco
23814;Lecco
23815;Lecco
23816;Lecco
23817;Lecco
23818;Lecco
23819;Lecco
23821;Lecco
23822;Lecco
23823;Sondrio
23824;Lecco
23825;Lecco
23826;Lecco
23827;Lecco
23828;Lecco
23829;Lecco
23831;Lecco
23832;Lecco
23833;Lecco
23834;Lecco
23835;Lecco
23836;Lecco
23837;Lecco
23838;Lecco
23841;Lecco
23842;Lecco
23843;Lecco
23844;Lecco
23845;Lecco
23846;Lecco
23847;Lecco
23848;Lecco
23849;Lecco
23851;Lecco
23852;Lecco
23854;Lecco
23855;Lecco
23856;Lecco
23857;Lecco
23861;Lecco
23862;Lecco
